path	sha256	size_bytes	text	line_count	nfc	lf_only
aegis/core/session_manager.py	0faa42694d8259c831b94621cf3a944e2e2262422638fdf76b116758ad0ff7f7	6516	true	162	true	true
aegis/core/slo_alerting.py	614c67fb68c0d888883350d9d764a58c796f1a6165ef8e25403d25d9cfe8db8d	12061	true	355	true	true
aegis/core/split_brain.py	31a4c8d6559c91c93b0823f763fd02d60b9bb78cb56e46b1b7e567133186f9cc	7940	true	210	true	true
aegis/core/state_snapshotter.py	cf024cd09db4c6559eab4cdddb400d389527792ce1ed7d382e8c9a7a8802d39e	4882	true	123	true	true
aegis/core/stix_taxii_ingestor.py	d4175fb24c08ea383fb8ebf19c3167774da59fc42d7637ad4963b25a0d6b2c9e	20064	true	552	true	true
aegis/core/streaming_deidentifier.py	028d77dc6ec65212cb2bd8819354b6905f1e169b85786501a3f86d5aef363d3c	8390	true	224	true	true
aegis/core/taint_analysis.py	0fdc459cafd19f7c61f2e301d18f0a50a15d090b708d2a8234e9ed90cbeebc4b	2461	true	71	true	true
aegis/core/tee_manager.py	bea7716c228be7695cb9ff30769e22ffa85e001a7db2eb1a3c9fdcc6c300fccb	4035	true	107	true	true
aegis/core/telemetry.py	ea242644d6f10c280a599432b8b814dc8887e122dbcb16d61cf6aa2004fd0a04	6830	true	171	true	true
aegis/core/ti_sharing.py	9b6c3b5a44ce7ce027a9c1278924173a722b7baee4534750d624664e5f5c8ee3	20830	true	668	true	true
aegis/core/timing_defense.py	74de43cd43125f3316df1cf3461d4e64a95d2e9221643d85ad749a5cc965e8d3	2717	true	77	true	true
aegis/core/token_split_detector.py	9198f4a4af7436abb1ddeddf4737df4c22b134bc1fc753e242e02fb62a9e75c9	12272	true	342	true	true
aegis/core/tpm.py	83fbb49c340f27b442d0b3c39afeb0dc7c87bafa3f0d40f78f2890aa902e6e0e	5949	true	148	true	true
aegis/core/transparency_log.py	ef1e9438ffc829c33d4ea8db0d48238076e3f5adc01c5cb90d50612862075308	5376	true	149	true	true
aegis/core/transport_hardener.py	b8cf42fc327f25d0c24399facaa8ff79725ba8bc3606e6a992dd9c594ec81d07	3288	true	94	true	true
aegis/core/tsa_provider.py	822f4131f36ccf6ec0228fcf9e9204cb497de1798eda95ce3a69515ca197c360	4734	true	147	true	true
